"","_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
"1",2394454,"5186997",NA,NA,"2019","PRIVATE","12","Toronto-St. Paul's","200 MADISON AVE","6","82","2023-01-31","100","Evaluation needs to be conducted in 3 years","19","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","N/A","S1237","43.676442017","-79.406812986","312299.706","4837164.375"
"2",2394455,"5118732","2022",NA,"2021","PRIVATE","13","Toronto Centre","25 NICHOLAS AVE","29","346","2023-01-27","100","Evaluation needs to be conducted in 3 years","20","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","S1330",NA,NA,"316225.666","4835308.898"
"3",2394456,"5156142",NA,NA,NA,"PRIVATE","13","Toronto Centre","109 PEMBROKE ST","4","20","2023-01-27","67","Evaluation needs to be conducted in 2 years","14","3","4","3","3","2","3","N/A","4","N/A","N/A","3","3","5","3","3","4","N/A","4","N/A","N/A","S1328","43.660120206","-79.3728278301","315041.504","4835359.918"
"4",2394457,"5156008","2022",NA,"1885","PRIVATE","09","Davenport","267 BROCK AVE","3","11","2023-01-24","73","Evaluation needs to be conducted in 2 years","14","3","3","4","4","N/A","4","N/A","5","5","N/A","3","4","3","2","4","3","N/A","4","N/A","N/A","S0936","43.649450698","-79.435105646","310019.153","4834169.75"
"5",2394458,"5156127","2022",NA,"1972","PRIVATE","13","Toronto Centre","33 WOOD ST","30","240","2023-01-24","93","Evaluation needs to be conducted in 3 years","20","5","5","5","5","5","5","4","4","4","5","5","4","5","5","5","5","4","4","4","5","S1326","43.662341118","-79.381432692","314346.855","4835606.614"
"6",2394459,"5132414","2022",NA,"2018","PRIVATE","11","University-Rosedale","55 GERRARD ST W","43","595","2023-01-24","99","Evaluation needs to be conducted in 3 years","19","5","5","5","4","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","S1145","43.658443735","-79.383996717","314140.697","4835173.342"
"7",2394460,"5207679","2023",NA,"2022","PRIVATE","12","Toronto-St. Paul's","215 LONSDALE RD","20","177","2023-01-23","100","Evaluation needs to be conducted in 3 years","19","5","5","5","5","N/A","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","S1231",NA,NA,"312559.07","4838724.578"
"8",2394461,"5175953","2022",NA,"2022","PRIVATE","10","Spadina-Fort York","57 SPADINA AVE","36","286","2023-01-20","100","Evaluation needs to be conducted in 3 years","20","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","S1033","43.644956232","-79.394471437","313302.359","4833678.686"
"9",2394462,"4154229","2017",NA,"1968","PRIVATE","07","Humber River-Black Creek","2770 JANE ST","4","144","2023-01-19","85","Evaluation needs to be conducted in 2 years","19","4","4","5","4","4","5","4","4","4","4","5","5","5","4","4","4","4","5","3","N/A","W0729","43.7474006174","-79.5159466744","303500.287","4845048.686"
"10",2394463,"5199841",NA,NA,"2021","PRIVATE","03","Etobicoke-Lakeshore","5249 DUNDAS ST W","42","333","2023-01-19","99","Evaluation needs to be conducted in 3 years","19","5","5","5","5","N/A","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","W0323",NA,NA,"301782.82","4832967.103"
"11",2394464,"5156112","2022",NA,"1958","PRIVATE","12","Toronto-St. Paul's","210 VAUGHAN RD","4","25","2023-01-19","75","Evaluation needs to be conducted in 2 years","15","3","3","5","5","3","4","N/A","4","N/A","N/A","3","3","5","3","4","4","N/A","4","3","N/A","S1229","43.687311357","-79.423463821","310954.409","4838376.712"
